PlotID,invaded,mean
3912074671,1,0.145442466
3903100295,1,0.451098268
3859037278,1,0.269488748
3858515715,1,0.312507067
3858331617,1,0.188761552
3802428791,1,0.264287602
3772901954,1,0.286181286
3456936486,1,0.351701884
3456033819,1,0.221896835
3455540436,1,0.382640863
3415689002,1,0.308023559
3408065044,1,0.178479688
3407898610,1,0.344385158
3384405751,1,0.009722039
3384130093,1,0.426120261
3335138440,1,0.287344404
3333271402,1,0.511371412
3333251437,1,0.513908293
3333081426,1,0.296460105
3327867752,1,0.479934929
3302335560,1,0.472686285
3124581988,1,-0.171373726
3118205677,1,0.244160514
3117758540,1,0.52915549
3117758309,1,0.253272394
3112901489,1,0.388268064
3112880361,1,0.472563257
3097224595,1,0.203780569
3058734649,1,0.514706843
3058691480,1,0.398850364
3044635204,1,0.331180075
3044585171,1,0.464562218
3032012107,1,0.293642299
3032004978,1,0.299023881
3018034382,1,0.29377786
2802714751,1,0.357713169
2802666016,1,0.168720349
2641495832,1,0.477546344
2626252726,1,0.446465853
2626176903,1,0.439210883
2611061193,1,0.533502687
2543085669,1,0.419188045
2423009945,1,0.112896558
2242795687,1,0.413619546
2238927225,1,0.278385981
2238818597,1,0.196314941
2238809052,1,0.446488801
1932327192,1,0.538425466
1931502022,1,0.231391961
1931474507,1,0.249546217
1931474409,1,0.294835071
1802651791,1,0.269910852
4145468733,1,0.2427231
3985641323,1,0.20721896
3415592413,1,0.341035612
3337443457,1,0.309887463
2549977327,1,0.197798529
2542894615,1,0.286015882
4138264530,1,0.302462463
4430648690,1,0.300638371
4116308021,1,0.305616806
4438892661,1,0.304153106
4102722969,1,0.304153106
